Fecha Emisión :31/12/2021 - 21:35;
Trading day;Product;Place of delivery;Area;First Day Delivery;Last Day Delivery;"MIBGAS Daily Price [EUR/MWh]";
08/12/2021;GDAES_D+1;PVB;ES;09/12/2021;09/12/2021;103.98;
08/12/2021;GMAES;PVB;ES;01/01/2022;31/01/2022;103.9;
08/12/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;101.05;
08/12/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;75.58;
07/12/2021;GDAES_D+1;PVB;ES;08/12/2021;08/12/2021;95.49;
07/12/2021;GMAES;PVB;ES;01/01/2022;31/01/2022;98.5;
07/12/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;95.69;
07/12/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;66.84;
06/12/2021;GDAES_D+1;PVB;ES;07/12/2021;07/12/2021;91;
06/12/2021;GMAES;PVB;ES;01/01/2022;31/01/2022;91.85;
06/12/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;89.74;
06/12/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;60.46;
05/12/2021;GDAES_D+1;PVB;ES;06/12/2021;06/12/2021;90.21;
04/12/2021;GDAES_D+1;PVB;ES;05/12/2021;05/12/2021;89.77;
03/12/2021;GDAES_D+1;PVB;ES;04/12/2021;04/12/2021;92.7;
03/12/2021;GMAES;PVB;ES;01/01/2022;31/01/2022;93.1;
03/12/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;89.27;
03/12/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;58.04;
02/12/2021;GDAES_D+1;PVB;ES;03/12/2021;03/12/2021;96.07;
02/12/2021;GMAES;PVB;ES;01/01/2022;31/01/2022;94.6;
02/12/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;90.67;
02/12/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.48;
01/12/2021;GDAES_D+1;PVB;ES;02/12/2021;02/12/2021;98.12;
01/12/2021;GMAES;PVB;ES;01/01/2022;31/01/2022;96.95;
01/12/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;92.25;
01/12/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.91;
30/11/2021;GDAES_D+1;PVB;ES;01/12/2021;01/12/2021;95.5;
30/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;94.2;
30/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;91.19;
30/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.41;
29/11/2021;GDAES_D+1;PVB;ES;30/11/2021;30/11/2021;98.26;
29/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;96.5;
29/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;92.3;
29/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.88;
28/11/2021;GDAES_D+1;PVB;ES;29/11/2021;29/11/2021;95.24;
27/11/2021;GDAES_D+1;PVB;ES;28/11/2021;28/11/2021;93.89;
26/11/2021;GDAES_D+1;PVB;ES;27/11/2021;27/11/2021;91.42;
26/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;89.5;
26/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;86.93;
26/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;54.7;
25/11/2021;GDAES_D+1;PVB;ES;26/11/2021;26/11/2021;95.16;
25/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;95.25;
25/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;92.6;
25/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;57.7;
24/11/2021;GDAES_D+1;PVB;ES;25/11/2021;25/11/2021;97.83;
24/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;94.55;
24/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;92.84;
24/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;57.31;
23/11/2021;GDAES_D+1;PVB;ES;24/11/2021;24/11/2021;93.9;
23/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;94;
23/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;89.33;
23/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;55.43;
22/11/2021;GDAES_D+1;PVB;ES;23/11/2021;23/11/2021;87.39;
22/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;86.3;
22/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;84.53;
22/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;53.01;
21/11/2021;GDAES_D+1;PVB;ES;22/11/2021;22/11/2021;92.89;
20/11/2021;GDAES_D+1;PVB;ES;21/11/2021;21/11/2021;95.7;
19/11/2021;GDAES_D+1;PVB;ES;20/11/2021;20/11/2021;93.42;
19/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;88.48;
19/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;92.11;
19/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.52;
18/11/2021;GDAES_D+1;PVB;ES;19/11/2021;19/11/2021;96.06;
18/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;95.66;
18/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;92.11;
18/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.52;
17/11/2021;GDAES_D+1;PVB;ES;18/11/2021;18/11/2021;95.1;
17/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;99.8;
17/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;93.69;
17/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.15;
16/11/2021;GDAES_D+1;PVB;ES;17/11/2021;17/11/2021;93.64;
16/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;94.92;
16/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;93.68;
16/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.18;
15/11/2021;GDAES_D+1;PVB;ES;16/11/2021;16/11/2021;81.76;
15/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;76.76;
15/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;79.85;
15/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;50.84;
14/11/2021;GDAES_D+1;PVB;ES;15/11/2021;15/11/2021;79.25;
13/11/2021;GDAES_D+1;PVB;ES;14/11/2021;14/11/2021;79;
12/11/2021;GDAES_D+1;PVB;ES;13/11/2021;13/11/2021;76.9;
12/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;76.76;
12/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;74.42;
12/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;48.96;
11/11/2021;GDAES_D+1;PVB;ES;12/11/2021;12/11/2021;77.73;
11/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;73.8;
11/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;74.42;
11/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;48.96;
10/11/2021;GDAES_D+1;PVB;ES;11/11/2021;11/11/2021;72.96;
10/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;71;
10/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;70.53;
10/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;48.34;
09/11/2021;GDAES_D+1;PVB;ES;10/11/2021;10/11/2021;71;
09/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;75.65;
09/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;70.32;
09/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;47.17;
08/11/2021;GDAES_D+1;PVB;ES;09/11/2021;09/11/2021;77.74;
08/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;78.48;
08/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;73.01;
08/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;48.64;
07/11/2021;GDAES_D+1;PVB;ES;08/11/2021;08/11/2021;73.47;
06/11/2021;GDAES_D+1;PVB;ES;07/11/2021;07/11/2021;71.57;
05/11/2021;GDAES_D+1;PVB;ES;06/11/2021;06/11/2021;70.51;
05/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;74.95;
05/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;72.1;
05/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;48.97;
04/11/2021;GDAES_D+1;PVB;ES;05/11/2021;05/11/2021;71.65;
04/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;74.15;
04/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;72.1;
04/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;48.97;
03/11/2021;GDAES_D+1;PVB;ES;04/11/2021;04/11/2021;76.84;
03/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;78.7;
03/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;79.52;
03/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;52.07;
02/11/2021;GDAES_D+1;PVB;ES;03/11/2021;03/11/2021;69.25;
02/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;70.9;
02/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;67.49;
02/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;47.65;
01/11/2021;GDAES_D+1;PVB;ES;02/11/2021;02/11/2021;63.7;
01/11/2021;GMAES;PVB;ES;01/12/2021;31/12/2021;68.5;
01/11/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;63.66;
01/11/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;47.06;
31/10/2021;GDAES_D+1;PVB;ES;01/11/2021;01/11/2021;60.25;
30/10/2021;GDAES_D+1;PVB;ES;31/10/2021;31/10/2021;62.86;
29/10/2021;GDAES_D+1;PVB;ES;30/10/2021;30/10/2021;60.32;
29/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;64.75;
29/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;73.37;
29/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;51.98;
28/10/2021;GDAES_D+1;PVB;ES;29/10/2021;29/10/2021;73.75;
28/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;75.51;
28/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;73.37;
28/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;51.98;
27/10/2021;GDAES_D+1;PVB;ES;28/10/2021;28/10/2021;84.65;
27/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;87.59;
27/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;85.65;
27/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.58;
26/10/2021;GDAES_D+1;PVB;ES;27/10/2021;27/10/2021;89.31;
26/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;91.6;
26/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;87.6;
26/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;56.58;
25/10/2021;GDAES_D+1;PVB;ES;26/10/2021;26/10/2021;91.01;
25/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;89.8;
25/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;93;
25/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
24/10/2021;GDAES_D+1;PVB;ES;25/10/2021;25/10/2021;95.1;
23/10/2021;GDAES_D+1;PVB;ES;24/10/2021;24/10/2021;91.75;
22/10/2021;GDAES_D+1;PVB;ES;23/10/2021;23/10/2021;88.4;
22/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;89;
22/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;93;
22/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
21/10/2021;GDAES_D+1;PVB;ES;22/10/2021;22/10/2021;88.24;
21/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;91.2;
21/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;93;
21/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
20/10/2021;GDAES_D+1;PVB;ES;21/10/2021;21/10/2021;90.21;
20/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;96.17;
20/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;93;
20/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
19/10/2021;GDAES_D+1;PVB;ES;20/10/2021;20/10/2021;86.76;
19/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;91.75;
19/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;93;
19/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
18/10/2021;GDAES_D+1;PVB;ES;19/10/2021;19/10/2021;85.66;
18/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;92.48;
18/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
18/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
17/10/2021;GDAES_D+1;PVB;ES;18/10/2021;18/10/2021;94.49;
16/10/2021;GDAES_D+1;PVB;ES;17/10/2021;17/10/2021;90.01;
15/10/2021;GDAES_D+1;PVB;ES;16/10/2021;16/10/2021;89.95;
15/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;89.6;
15/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
15/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
14/10/2021;GDAES_D+1;PVB;ES;15/10/2021;15/10/2021;98.52;
14/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;102;
14/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
14/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
13/10/2021;GDAES_D+1;PVB;ES;14/10/2021;14/10/2021;92.65;
13/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;95;
13/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
13/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
12/10/2021;GDAES_D+1;PVB;ES;13/10/2021;13/10/2021;84.07;
12/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;87;
12/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
12/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
11/10/2021;GDAES_D+1;PVB;ES;12/10/2021;12/10/2021;83.02;
11/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;89.9;
11/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
11/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
10/10/2021;GDAES_D+1;PVB;ES;11/10/2021;11/10/2021;86;
09/10/2021;GDAES_D+1;PVB;ES;10/10/2021;10/10/2021;87.4;
08/10/2021;GDAES_D+1;PVB;ES;09/10/2021;09/10/2021;80.06;
08/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;97.5;
08/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
08/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
07/10/2021;GDAES_D+1;PVB;ES;08/10/2021;08/10/2021;98.47;
07/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;101.5;
07/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
07/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
06/10/2021;GDAES_D+1;PVB;ES;07/10/2021;07/10/2021;111.66;
06/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;109;
06/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
06/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
05/10/2021;GDAES_D+1;PVB;ES;06/10/2021;06/10/2021;113.77;
05/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;109;
05/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
05/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
04/10/2021;GDAES_D+1;PVB;ES;05/10/2021;05/10/2021;91.25;
04/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;99.6;
04/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
04/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
03/10/2021;GDAES_D+1;PVB;ES;04/10/2021;04/10/2021;77.7;
02/10/2021;GDAES_D+1;PVB;ES;03/10/2021;03/10/2021;74.81;
01/10/2021;GDAES_D+1;PVB;ES;02/10/2021;02/10/2021;88.5;
01/10/2021;GMAES;PVB;ES;01/11/2021;30/11/2021;98.5;
01/10/2021;GQES_Q+1;PVB;ES;01/01/2022;31/03/2022;;
01/10/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
30/09/2021;GDAES_D+1;PVB;ES;01/10/2021;01/10/2021;92.69;
30/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;90;
30/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
29/09/2021;GDAES_D+1;PVB;ES;30/09/2021;30/09/2021;82.75;
29/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;86.04;
29/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
29/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
28/09/2021;GDAES_D+1;PVB;ES;29/09/2021;29/09/2021;78.99;
28/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;84.7;
28/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
28/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
27/09/2021;GDAES_D+1;PVB;ES;28/09/2021;28/09/2021;76.95;
27/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;77.35;
27/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
27/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
26/09/2021;GDAES_D+1;PVB;ES;27/09/2021;27/09/2021;72.31;
25/09/2021;GDAES_D+1;PVB;ES;26/09/2021;26/09/2021;72.82;
24/09/2021;GDAES_D+1;PVB;ES;25/09/2021;25/09/2021;67.6;
24/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;70.7;
24/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
24/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
23/09/2021;GDAES_D+1;PVB;ES;24/09/2021;24/09/2021;69.53;
23/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;69.5;
23/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
23/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
22/09/2021;GDAES_D+1;PVB;ES;23/09/2021;23/09/2021;70.78;
22/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;71.5;
22/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
22/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;43.85;
21/09/2021;GDAES_D+1;PVB;ES;22/09/2021;22/09/2021;73.15;
21/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;75.25;
21/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
21/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;34.41;
20/09/2021;GDAES_D+1;PVB;ES;21/09/2021;21/09/2021;71.51;
20/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;77.4;
20/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
20/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;34.41;
19/09/2021;GDAES_D+1;PVB;ES;20/09/2021;20/09/2021;63.6;
18/09/2021;GDAES_D+1;PVB;ES;19/09/2021;19/09/2021;64.1;
17/09/2021;GDAES_D+1;PVB;ES;18/09/2021;18/09/2021;65.5;
17/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;66.57;
17/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
17/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;34.41;
16/09/2021;GDAES_D+1;PVB;ES;17/09/2021;17/09/2021;64.35;
16/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;62.93;
16/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
16/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;34.41;
15/09/2021;GDAES_D+1;PVB;ES;16/09/2021;16/09/2021;69.58;
15/09/2021;GMAES;PVB;ES;01/10/2021;31/10/2021;70.15;
15/09/2021;GQES_Q+1;PVB;ES;01/10/2021;31/12/2021;68.1;
15/09/2021;GYES_Y+1;PVB;ES;01/01/2022;31/12/2022;34.41;
